id,title,release_date,vote_average,genre_names,duration,description,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Romance,Science Fiction,Thriller,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Romance,Science Fiction,Thriller
1156593,Your Fault,2024-12-26,7.271,"['Romance', 'Drama']",120,the love between noah and nick seems unwavering despite their parents' attempts to separate them. but his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the leister family itself.,False,False,False,False,False,True,False,False,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0,1,0,0
558449,Gladiator II,2024-11-05,6.775,"['Action', 'Adventure', 'Drama']",148,"years after witnessing the death of the revered hero maximus at the hands of his uncle, lucius is forced to enter the colosseum after his home is conquered by the tyrannical emperors who now lead rome with an iron fist. with rage in his heart and the future of the empire at stake, lucius must look to his past to find strength and honor to return the glory of rome to its people.",True,True,False,False,False,True,False,False,False,False,False,False,False,1,1,0,0,0,1,0,0,0,0,0,0,0
845781,Red One,2024-10-31,7.032,"['Action', 'Fantasy', 'Comedy']",124,"after santa claus (codename: red one) is kidnapped, the north pole's head of security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save christmas.",True,False,False,True,False,False,False,True,False,False,False,False,False,1,0,0,1,0,0,0,1,0,0,0,0,0
939243,Sonic the Hedgehog 3,2024-12-19,7.7,"['Action', 'Science Fiction', 'Comedy', 'Family']",110,"sonic, knuckles, and tails reunite against a powerful new adversary, shadow, a mysterious villain with powers unlike anything they have faced before. with their abilities outmatched in every way, team sonic must seek out an unlikely alliance in hopes of stopping shadow and protecting the planet.",True,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,1,0,0,1,0,0,0,0,1,0
912649,Venom: The Last Dance,2024-10-22,6.803,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",109,"eddie and venom are on the run. hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on venom and eddie's last dance.",True,True,False,False,False,False,False,False,False,False,False,True,True,1,1,0,0,0,0,0,0,0,0,0,1,1
1241982,Moana 2,2024-11-21,6.961,"['Animation', 'Adventure', 'Family', 'Comedy']",100,"after receiving an unexpected call from her wayfinding ancestors, moana journeys alongside maui and a new crew to the far seas of oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",False,True,True,True,False,False,True,False,False,False,False,False,False,0,1,1,1,0,0,1,0,0,0,0,0,0
762509,Mufasa: The Lion King,2024-12-18,7.331,"['Adventure', 'Family', 'Animation', 'Music']",118,"told in flashbacks, mufasa is an orphaned cub, lost and alone until he meets a sympathetic lion named taka—the heir to a royal bloodline. the chance meeting sets in motion a journey of misfits searching for their destiny and working together to evade a threatening and deadly foe.",False,True,True,False,False,False,True,False,False,True,False,False,False,0,1,1,0,0,0,1,0,0,1,0,0,0
1005331,Carry-On,2024-12-05,7.0,"['Action', 'Thriller']",119,an airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a christmas eve flight.,True,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,1
1010581,My Fault,2023-06-08,7.911,"['Romance', 'Drama']",117,"noah must leave her city, boyfriend, and friends to move into william leister's mansion, the flashy and wealthy husband of her mother rafaela. as a proud and independent 17 year old, noah resists living in a mansion surrounded by luxury. however, it is there where she meets nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",False,False,False,False,False,True,False,False,False,False,True,False,False,0,0,0,0,0,1,0,0,0,0,1,0,0
1043905,Dirty Angels,2024-12-11,6.873,"['Action', 'Drama', 'Thriller']",104,"during the united states' 2021 withdrawal from afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between isis and the taliban.",True,False,False,False,False,True,False,False,False,False,False,False,True,1,0,0,0,0,1,0,0,0,0,0,0,1
1035048,Elevation,2024-11-07,6.291,"['Action', 'Science Fiction', 'Thriller']",91,a single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,True,False,False,False,False,False,False,False,False,False,False,True,True,1,0,0,0,0,0,0,0,0,0,0,1,1
402431,Wicked,2024-11-20,7.427,"['Drama', 'Romance', 'Fantasy']",162,"in the land of oz, ostracized and misunderstood green-skinned elphaba is forced to share a room with the popular aristocrat glinda at shiz university, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as glinda the good and the wicked witch of the west.",False,False,False,False,False,True,False,True,False,False,True,False,False,0,0,0,0,0,1,0,1,0,0,1,0,0
839033,The Lord of the Rings: The War of the Rohirrim,2024-12-05,6.8,"['Animation', 'Fantasy', 'Action', 'Adventure']",134,"183 years before the events chronicled in the original trilogy, a sudden attack by wulf, a clever and ruthless dunlending lord seeking vengeance for the death of his father, forces helm hammerhand and his people to make a daring last stand in the ancient stronghold of the hornburg. finding herself in an increasingly desperate situation, héra, the daughter of helm, must summon the will to lead the resistance against a deadly enemy intent on their total destruction.",True,True,True,False,False,False,False,True,False,False,False,False,False,1,1,1,0,0,0,0,1,0,0,0,0,0
1276945,Ferry 2,2024-12-19,5.7,"['Crime', 'Thriller', 'Action']",94,"after losing his drug empire, ferry bouman has found a measure of peace away from brabant's criminal underworld — until his past catches up to him.",True,False,False,False,True,False,False,False,False,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,1
933260,The Substance,2024-09-07,7.174,"['Horror', 'Science Fiction']",141,"a fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",False,False,False,False,False,False,False,False,True,False,False,True,False,0,0,0,0,0,0,0,0,1,0,0,1,0
974453,Absolution,2024-10-31,5.939,"['Action', 'Crime', 'Thriller']",112,"an aging ex-boxer gangster working as muscle for a boston crime boss receives an upsetting diagnosis.  despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. he is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",True,False,False,False,True,False,False,False,False,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,1
1184918,The Wild Robot,2024-09-08,8.375,"['Animation', 'Action', 'Science Fiction', 'Family']",102,"after a shipwreck, an intelligent robot called roz is stranded on an uninhabited island. to survive the harsh environment, roz bonds with the island's animals and cares for an orphaned baby goose.",True,False,True,False,False,False,True,False,False,False,False,True,False,1,0,1,0,0,0,1,0,0,0,0,1,0
533535,Deadpool & Wolverine,2024-07-24,7.657,"['Action', 'Comedy', 'Science Fiction']",128,"a listless wade wilson toils away in civilian life with his days as the morally flexible mercenary, deadpool, behind him. but when his homeworld faces an existential threat, wade must reluctantly suit-up again with an even more reluctant wolverine.",True,False,False,True,False,False,False,False,False,False,False,True,False,1,0,0,1,0,0,0,0,0,0,0,1,0
1000075,The Price of Money: A Largo Winch Adventure,2024-07-31,5.8,"['Action', 'Adventure', 'Thriller']",100,"largo winch, devastated by the kidnapping of his son, realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.",True,True,False,False,False,False,False,False,False,False,False,False,True,1,1,0,0,0,0,0,0,0,0,0,0,1
1034541,Terrifier 3,2024-10-09,6.881,"['Horror', 'Thriller']",125,"five years after surviving art the clown's halloween massacre, sienna and jonathan are still struggling to rebuild their shattered lives. as the holiday season approaches, they try to embrace the christmas spirit and leave the horrors of the past behind. but just when they think they're safe, art returns, determined to turn their holiday cheer into a new nightmare. the festive season quickly unravels as art unleashes his twisted brand of terror, proving that no holiday is safe.",False,False,False,False,False,False,False,False,True,False,False,False,True,0,0,0,0,0,0,0,0,1,0,0,0,1
