id,title,release_date,vote_average,genre_ids,genre_names
558449,Gladiator II,2024-11-05,6.8,"[28, 12, 18]","['Action', 'Adventure', 'Drama']"
1156593,Your Fault,2024-12-26,7.7,"[10749, 18]","['Romance', 'Drama']"
845781,Red One,2024-10-31,7.0,"[28, 14, 35]","['Action', 'Fantasy', 'Comedy']"
939243,Sonic the Hedgehog 3,2024-12-19,7.781,"[28, 878, 35, 10751]","['Action', 'Science Fiction', 'Comedy', 'Family']"
912649,Venom: The Last Dance,2024-10-22,6.8,"[28, 878, 12, 53]","['Action', 'Science Fiction', 'Adventure', 'Thriller']"
1241982,Moana 2,2024-11-21,7.0,"[16, 12, 10751, 35]","['Animation', 'Adventure', 'Family', 'Comedy']"
762509,Mufasa: The Lion King,2024-12-18,7.3,"[12, 10751, 16, 10402]","['Adventure', 'Family', 'Animation', 'Music']"
1010581,My Fault,2023-06-08,7.9,"[10749, 18]","['Romance', 'Drama']"
1005331,Carry-On,2024-12-05,6.993,"[28, 53]","['Action', 'Thriller']"
1043905,Dirty Angels,2024-12-11,6.8,"[28, 18, 53]","['Action', 'Drama', 'Thriller']"
1035048,Elevation,2024-11-07,6.3,"[28, 878, 53]","['Action', 'Science Fiction', 'Thriller']"
974453,Absolution,2024-10-31,6.1,"[28, 80, 53]","['Action', 'Crime', 'Thriller']"
1000075,The Price of Money: A Largo Winch Adventure,2024-07-31,5.78,"[28, 12, 53]","['Action', 'Adventure', 'Thriller']"
1184918,The Wild Robot,2024-09-08,8.376,"[16, 28, 878, 10751]","['Animation', 'Action', 'Science Fiction', 'Family']"
933260,The Substance,2024-09-07,7.2,"[27, 878]","['Horror', 'Science Fiction']"
539972,Kraven the Hunter,2024-12-11,5.9,"[28, 12, 53]","['Action', 'Adventure', 'Thriller']"
533535,Deadpool & Wolverine,2024-07-24,7.66,"[28, 35, 878]","['Action', 'Comedy', 'Science Fiction']"
1034541,Terrifier 3,2024-10-09,6.883,"[27, 53]","['Horror', 'Thriller']"
1064213,Anora,2024-10-14,7.0,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']"
1182387,Armor,2024-10-30,5.6,"[28, 80, 53]","['Action', 'Crime', 'Thriller']"
